Município,Ano,Produto Interno Bruto a preços correntes (Mil Reais),"Impostos, líquidos de subsídios, sobre produtos a preços correntes (Mil Reais)",Valor adicionado bruto a preços correntes total (Mil Reais),Valor adicionado bruto a preços correntes da agropecuária (Mil Reais),Valor adicionado bruto a preços correntes da indústria (Mil Reais),"Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)","Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)"
Maetinga (BA),2021,50121,3160,46962,4442,2995,18489,21036
Maiquinique (BA),2021,204931,19217,185714,33537,39502,64461,48214
Mairi (BA),2021,158813,9787,149025,22505,6673,51211,68636
Malhada (BA),2021,188065,8907,179158,70132,10038,33397,65590
Malhada de Pedras (BA),2021,80639,4254,76385,12253,4301,23913,35917
Manoel Vitorino (BA),2021,139859,6396,133463,35512,5853,34818,57281
Mansidão (BA),2021,93688,3606,90082,13189,3956,20729,52207
Maracás (BA),2021,656427,38094,618333,61728,269457,189397,97751
Maragogipe (BA),2021,402859,14778,388081,83229,18688,106196,179967
Maraú (BA),2021,341379,16691,324688,58634,21710,148912,95432
Marcionílio Souza (BA),2021,94412,3580,90832,19994,4236,22707,43894
Mascote (BA),2021,161497,11137,150360,30843,7018,47987,64512
Mata de São João (BA),2021,1328755,175949,1152807,19993,231959,652715,248140
Matina (BA),2021,91738,3453,88285,17060,3311,20867,47047
Medeiros Neto (BA),2021,514679,39662,475017,103630,142362,136425,92601
Miguel Calmon (BA),2021,273161,16235,256926,32305,19484,102473,102665
Milagres (BA),2021,144015,17936,126079,2665,6723,68984,47707
Mirangaba (BA),2021,141427,6275,135152,24133,8920,30740,71359
Mirante (BA),2021,78632,3100,75531,14492,3451,20133,37455
Monte Santo (BA),2021,460032,25420,434613,62379,18941,142458,210834
Morpará (BA),2021,78667,3216,75451,16404,3689,19478,35880
Morro do Chapéu (BA),2021,625934,41267,584667,48076,261749,139226,135615
Mortugaba (BA),2021,106818,6281,100537,12328,6128,36467,45615
Mucugê (BA),2021,774940,24024,750916,565927,37676,99742,47571
Mucuri (BA),2021,2212818,209655,2003163,95110,1226524,455818,225710
Mulungu do Morro (BA),2021,212902,14096,198806,12366,107225,27630,51584
Mundo Novo (BA),2021,199233,7412,191821,34805,8707,53313,94996
Muniz Ferreira (BA),2021,66810,3191,63619,7835,4221,18112,33450
Muquém do São Francisco (BA),2021,210290,18304,191986,52696,40417,47399,51474
Muritiba (BA),2021,276778,19009,257769,13308,25877,106848,111736
Mutuípe (BA),2021,471382,23772,447610,81545,20958,258776,86332
Nazaré (BA),2021,330753,21112,309641,15437,21758,135852,136594
Nilo Peçanha (BA),2021,185997,5633,180364,74104,9602,35430,61228
Nordestina (BA),2021,160863,8898,151965,7248,41381,43324,60011
Nova Canaã (BA),2021,174263,5006,169257,46848,5840,46115,70455
Nova Fátima (BA),2021,95198,7722,87477,13607,4975,34088,34807
Nova Ibiá (BA),2021,101681,1949,99732,45975,3761,17252,32744
Nova Itarana (BA),2021,73287,4396,68890,6579,4137,19693,38481
Nova Redenção (BA),2021,75597,2844,72752,11345,3691,18754,38962
Nova Soure (BA),2021,271743,15033,256710,46482,18899,77261,114068
Nova Viçosa (BA),2021,576012,56226,519786,54469,58888,234362,172066
Novo Horizonte (BA),2021,105235,5604,99630,14794,8160,28433,48244
Novo Triunfo (BA),2021,103932,2938,100993,15233,4701,21104,59955
Olindina (BA),2021,242182,17630,224552,13993,18826,78528,113205
Oliveira dos Brejinhos (BA),2021,291928,24305,267623,19801,80792,86298,80733
Ouriçangas (BA),2021,80644,2833,77811,5784,14844,18246,38936
Ourolândia (BA),2021,280185,15903,264282,10394,119534,62993,71361
Palmas de Monte Alto (BA),2021,238177,14097,224080,58694,17215,58449,89722
Palmeiras (BA),2021,107785,6049,101737,8198,18101,38486,36952
Paramirim (BA),2021,270933,19514,251418,17727,42151,100957,90584
Paratinga (BA),2021,260593,15865,244728,32121,10760,80608,121240
Paripiranga (BA),2021,454635,24550,430086,158946,17428,147826,105886
Pau Brasil (BA),2021,105727,3867,101860,29530,5534,24252,42543
Paulo Afonso (BA),2021,3965326,192268,3773058,31769,2335919,884844,520526
Pé de Serra (BA),2021,131455,4756,126699,24127,9123,32451,60998
Pedrão (BA),2021,52275,1761,50513,6341,2337,11454,30381
Pedro Alexandre (BA),2021,119313,3301,116012,31268,3793,22708,58242
Piatã (BA),2021,242783,12774,230009,19974,65689,75541,68805
Pilão Arcado (BA),2021,291383,13858,277525,51153,8924,76300,141148
Pindaí (BA),2021,296543,22456,274087,22513,150129,37955,63491
Pindobaçu (BA),2021,157115,6615,150499,10290,8502,47049,84658
Pintadas (BA),2021,109340,11948,97392,21020,5084,27331,43957
Piraí do Norte (BA),2021,117016,2889,114127,46489,4551,20135,42952
Piripá (BA),2021,79408,3674,75733,6369,4493,24645,40226
Piritiba (BA),2021,187904,11339,176564,26298,9035,59380,81851
Planaltino (BA),2021,79205,3581,75624,13004,3410,20084,39126
Planalto (BA),2021,309885,26733,283153,45780,21537,113798,102037
Poções (BA),2021,573506,59731,513774,32743,33474,275035,172522
Pojuca (BA),2021,1843465,166784,1676681,9118,1119705,360745,187112
Ponto Novo (BA),2021,142630,6917,135713,13482,9142,41428,71661
Porto Seguro (BA),2021,3767887,344006,3423881,197896,277767,2243256,704963
Potiraguá (BA),2021,114973,4434,110539,35650,9627,26520,38742
Prado (BA),2021,624631,29436,595196,224932,42914,188042,139308
Presidente Dutra (BA),2021,132177,6842,125335,14006,9428,43661,58240
Presidente Jânio Quadros (BA),2021,100403,4382,96021,12698,4869,28592,49862
Presidente Tancredo Neves (BA),2021,338356,20252,318104,89732,18355,94234,115783
Queimadas (BA),2021,257882,15377,242505,35508,14367,83039,109590
Quijingue (BA),2021,227798,11781,216018,24471,10068,65436,116043
Quixabeira (BA),2021,77083,3110,73972,8242,4618,22829,38283
Rafael Jambeiro (BA),2021,396182,63440,332742,17641,14108,209559,91434
Remanso (BA),2021,486810,28827,457983,76733,17351,178751,185148
Retirolândia (BA),2021,149912,11169,138743,13027,21336,44854,59526
Riachão das Neves (BA),2021,1539603,69666,1469937,1035030,71894,261164,101849
Riachão do Jacuípe (BA),2021,410347,35071,375276,35307,40656,175596,123718
Riacho de Santana (BA),2021,317672,17214,300459,50211,10660,105665,133922
Ribeira do Amparo (BA),2021,192342,5399,186943,82256,8364,31087,65235
Ribeira do Pombal (BA),2021,716571,65046,651524,76925,52006,313720,208874
Ribeirão do Largo (BA),2021,111017,2722,108295,54745,3158,18043,32349
Rio de Contas (BA),2021,155934,6452,149482,36965,7885,50971,53661
Rio do Antônio (BA),2021,115695,5999,109697,10611,6099,35814,57173
Rio do Pires (BA),2021,100423,6190,94233,8876,5347,35463,44548
Rio Real (BA),2021,1031585,25606,1005979,626455,35301,181102,163121
Rodelas (BA),2021,143553,10432,133121,32543,9492,36143,54944
Ruy Barbosa (BA),2021,392811,30486,362325,24856,56830,160625,120014
Salinas da Margarida (BA),2021,201393,6717,194676,71302,9486,45819,68069
Salvador (BA),2021,62954487,8734570,54219917,52697,7160180,38113505,8893535
Santa Bárbara (BA),2021,180576,10187,170390,12064,14974,61883,81469
Santa Brígida (BA),2021,119330,6542,112788,15133,7658,33761,56236
Santa Cruz Cabrália (BA),2021,548442,37391,511051,75660,57491,237068,140831
Santa Cruz da Vitória (BA),2021,71181,2737,68445,16562,3627,16477,31779
Santa Inês (BA),2021,76184,4455,71729,3590,5084,24589,38467
Santaluz (BA),2021,522258,41201,481057,37263,114267,174158,155368
Santa Luzia (BA),2021,124294,4599,119695,30727,6189,27993,54786
Santa Maria da Vitória (BA),2021,600557,59031,541526,66504,36557,250579,187886
Santana (BA),2021,344033,21946,322087,91207,23821,100997,106062
Santanópolis (BA),2021,68861,2868,65993,6761,3840,17380,38012
Santa Rita de Cássia (BA),2021,286079,13812,272266,66777,9726,88767,106997
Santa Terezinha (BA),2021,101418,7748,93670,8262,12608,26330,46470
Santo Amaro (BA),2021,1137909,163429,974481,72106,266501,383001,252872
Santo Antônio de Jesus (BA),2021,2450763,362999,2087764,64126,356942,1295485,371211
Santo Estêvão (BA),2021,914071,125910,788161,17037,173030,385419,212675
São Desidério (BA),2021,5845432,220941,5624491,4191028,353530,888740,191193
São Domingos (BA),2021,88481,5216,83265,12709,6413,26885,37259
São Félix (BA),2021,172907,6114,166793,38440,13589,52006,62757
São Félix do Coribe (BA),2021,238411,19328,219083,72040,12458,71456,63129
São Felipe (BA),2021,212344,11955,200389,48029,11055,65007,76298
São Francisco do Conde (BA),2021,13086121,2272321,10813800,17002,7333620,3095222,367956
São Gabriel (BA),2021,152905,6522,146383,13759,9875,42087,80663
São Gonçalo dos Campos (BA),2021,1155355,235135,920220,32193,262309,469840,155878
São José da Vitória (BA),2021,67085,5351,61734,8475,2979,21658,28622
São José do Jacuípe (BA),2021,126708,10910,115798,21504,11151,40076,43067
São Miguel das Matas (BA),2021,176536,24021,152515,36026,6224,65775,44490
São Sebastião do Passé (BA),2021,850111,116387,733725,25523,261890,262344,183969
Sapeaçu (BA),2021,213356,11966,201391,25156,20184,67955,88096
Sátiro Dias (BA),2021,257850,8641,249208,117221,12851,42574,76562
Saubara (BA),2021,146345,5662,140683,26799,12026,44435,57422
Saúde (BA),2021,103098,4265,98833,8806,4459,33973,51595
Seabra (BA),2021,625789,72634,553155,26437,35282,317754,173682
Sebastião Laranjeiras (BA),2021,107243,5462,101780,26884,3577,24707,46612
Senhor do Bonfim (BA),2021,998686,99865,898820,15681,95660,496346,291134
Serra do Ramalho (BA),2021,411522,20820,390702,113758,30740,106852,139353
Sento Sé (BA),2021,1714786,80063,1634722,55054,1215704,175631,188334
Serra Dourada (BA),2021,200071,9861,190210,56761,13736,53086,66627
Serra Preta (BA),2021,138135,6963,131172,18522,8603,42006,62041
Serrinha (BA),2021,1086778,113076,973702,24926,94870,523798,330108
Serrolândia (BA),2021,118466,6366,112100,7778,9257,38140,56925
Simões Filho (BA),2021,6334359,1357830,4976529,11985,2200227,2170577,593739
