Município,Ano,Produto Interno Bruto a preços correntes (Mil Reais),"Impostos, líquidos de subsídios, sobre produtos a preços correntes (Mil Reais)",Valor adicionado bruto a preços correntes total (Mil Reais),Valor adicionado bruto a preços correntes da agropecuária (Mil Reais),Valor adicionado bruto a preços correntes da indústria (Mil Reais),"Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)","Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)"
Santa Rosa da Serra (MG),2021,102034,2796,99239,49636,6347,21197,22059
Santa Vitória (MG),2021,802690,64984,737706,219824,131302,244158,142423
Santo Antônio do Amparo (MG),2021,354432,25789,328643,86896,19172,133809,88767
Santo Antônio do Aventureiro (MG),2021,67920,2081,65839,20032,2612,20056,23139
Santo Antônio do Grama (MG),2021,85672,16917,68756,10803,12421,20636,24896
Santo Antônio do Itambé (MG),2021,44707,1312,43395,7811,1176,11324,23084
Santo Antônio do Jacinto (MG),2021,114554,4485,110069,11057,4744,35984,58284
Santo Antônio do Monte (MG),2021,843029,45702,797328,352781,47343,263047,134156
Santo Antônio do Retiro (MG),2021,70750,2242,68508,6216,3797,18224,40271
Santo Antônio do Rio Abaixo (MG),2021,28497,1025,27473,5044,629,8235,13565
Santo Hipólito (MG),2021,50200,1480,48720,14834,1881,12066,19938
Santos Dumont (MG),2021,1102977,173128,929849,21028,290979,406171,211671
São Bento Abade (MG),2021,89310,3567,85743,27791,4037,24825,29090
São Brás do Suaçuí (MG),2021,80505,6311,74195,3712,3377,38860,28245
São Domingos das Dores (MG),2021,91417,8198,83219,16322,2574,32536,31788
São Domingos do Prata (MG),2021,313491,33071,280420,32429,28758,133987,85246
São Félix de Minas (MG),2021,43895,1835,42060,5808,2052,12791,21410
São Francisco (MG),2021,648148,40830,607317,75359,35194,245087,251677
São Francisco de Paula (MG),2021,150481,11987,138493,44970,6888,54047,32588
São Francisco de Sales (MG),2021,194087,7713,186374,92870,9492,45776,38235
São Francisco do Glória (MG),2021,72567,4863,67704,14935,3890,22840,26039
São Geraldo (MG),2021,264434,29293,235141,20096,90240,66957,57847
São Geraldo da Piedade (MG),2021,44821,1583,43238,6327,1060,13323,22529
São Geraldo do Baixio (MG),2021,49944,1606,48338,8528,3785,13495,22530
São Gonçalo do Abaeté (MG),2021,325580,30788,294792,112784,38067,102416,41524
São Gonçalo do Pará (MG),2021,311248,29578,281669,27106,112187,81722,60655
São Gonçalo do Rio Abaixo (MG),2021,7603851,172851,7431000,12551,5826650,1415043,176757
São Gonçalo do Sapucaí (MG),2021,987545,120257,867288,157543,203916,381139,124690
São Gotardo (MG),2021,1189360,151968,1037392,130818,125151,608968,172455
São João Batista do Glória (MG),2021,268158,15134,253024,109263,29846,64809,49105
São João da Lagoa (MG),2021,60418,2786,57632,14162,1302,13713,28455
São João da Mata (MG),2021,55082,2490,52592,18127,1490,15454,17521
São João da Ponte (MG),2021,268895,12838,256057,37952,11046,82289,124769
São João das Missões (MG),2021,92400,2846,89554,6704,2196,20439,60216
São João del Rei (MG),2021,3005052,352049,2653003,292264,590374,1364426,405939
São João do Manhuaçu (MG),2021,183099,10752,172348,47629,8291,56627,59801
São João do Manteninha (MG),2021,81243,4682,76562,7833,8006,29507,31216
São João do Oriente (MG),2021,101877,6327,95550,10318,12855,35129,37247
São João do Pacuí (MG),2021,44646,1259,43387,7957,892,9455,25083
São João do Paraíso (MG),2021,285080,14778,270302,67860,16133,75822,110487
São João Evangelista (MG),2021,253108,19285,233823,31799,13146,113095,75783
São João Nepomuceno (MG),2021,506309,37884,468425,21061,105948,217977,123440
São Joaquim de Bicas (MG),2021,1083354,139775,943578,46947,432950,295956,167725
São José da Barra (MG),2021,891476,13415,878062,87668,678372,67684,44338
São José da Lapa (MG),2021,625195,89372,535824,9300,198621,193909,133994
São José da Safira (MG),2021,49560,1962,47598,3256,3979,15208,25155
São José da Varginha (MG),2021,114407,5343,109064,55240,2114,24803,26907
São José do Alegre (MG),2021,57940,3569,54371,8117,2699,20561,22994
São José do Divino (MG),2021,53046,1520,51526,11332,1214,15467,23512
São José do Goiabal (MG),2021,67388,2298,65090,13246,2492,19803,29549
São José do Jacuri (MG),2021,99911,6224,93687,22200,13827,25624,32036
São José do Mantimento (MG),2021,44175,1234,42941,11532,1560,11041,18807
São Lourenço (MG),2021,1177922,112998,1064925,2664,108697,701428,252136
São Miguel do Anta (MG),2021,105089,4508,100581,32883,5600,25879,36218
São Pedro da União (MG),2021,148166,6868,141298,71613,5634,37977,26073
São Pedro dos Ferros (MG),2021,134410,11075,123335,29879,17148,42603,33706
São Pedro do Suaçuí (MG),2021,81787,5748,76039,13280,9835,26392,26532
São Romão (MG),2021,243121,9241,233880,121813,10211,44436,57420
São Roque de Minas (MG),2021,323185,23528,299657,151225,24493,85763,38176
São Sebastião da Bela Vista (MG),2021,443000,87290,355710,24955,80925,213861,35969
São Sebastião da Vargem Alegre (MG),2021,66816,1854,64962,9521,18538,15453,21450
São Sebastião do Anta (MG),2021,104241,4364,99877,27811,4946,31027,36093
São Sebastião do Maranhão (MG),2021,100816,4387,96429,20718,2934,28280,44497
São Sebastião do Oeste (MG),2021,597003,89388,507616,77595,234228,155198,40595
São Sebastião do Paraíso (MG),2021,2236521,293249,1943272,186671,427394,966004,363204
São Sebastião do Rio Preto (MG),2021,25970,605,25365,4467,580,6192,14126
São Sebastião do Rio Verde (MG),2021,35692,1452,34241,5972,1436,11171,15662
São Tiago (MG),2021,246094,17441,228653,65685,37339,75078,50551
São Tomás de Aquino (MG),2021,195273,9093,186180,84033,14828,48536,38784
São Tomé das Letras (MG),2021,137362,7895,129467,35981,11453,46728,35305
São Vicente de Minas (MG),2021,206110,19619,186491,55556,26963,65977,37995
Sapucaí-Mirim (MG),2021,110272,7377,102896,14692,15449,38358,34396
Sardoá (MG),2021,68802,3492,65310,6754,3351,22617,32589
Sarzedo (MG),2021,2190992,208578,1982414,2994,1256000,538371,185049
Setubinha (MG),2021,122686,3465,119221,37906,3020,24493,53802
Sem-Peixe (MG),2021,36665,1160,35504,6345,2806,9966,16388
Senador Amaral (MG),2021,89448,4824,84624,18774,3401,31183,31266
Senador Cortes (MG),2021,38035,2144,35891,5662,3721,11341,15165
Senador Firmino (MG),2021,106777,6385,100392,10241,7354,43282,39516
Senador José Bento (MG),2021,35496,1173,34324,12156,1014,8606,12548
Senador Modestino Gonçalves (MG),2021,92207,2280,89927,44693,7207,14777,23250
Senhora de Oliveira (MG),2021,81083,3654,77429,15272,2374,30182,29601
Senhora do Porto (MG),2021,49778,1802,47976,12440,4417,10447,20672
Senhora dos Remédios (MG),2021,115769,4141,111628,21098,9998,32404,48128
Sericita (MG),2021,104985,3813,101172,31449,6952,26346,36424
Seritinga (MG),2021,45232,2817,42415,10424,3215,13827,14948
Serra Azul de Minas (MG),2021,45066,1281,43785,5921,1455,10387,26022
Serra da Saudade (MG),2021,21891,604,21286,7918,811,4097,8461
Serra dos Aimorés (MG),2021,91034,4048,86986,15706,3734,27505,40041
Serra do Salitre (MG),2021,983222,26060,957162,429056,266287,189575,72245
Serrania (MG),2021,161647,9996,151652,43775,16614,53074,38189
Serranópolis de Minas (MG),2021,47456,1295,46161,6297,1644,9536,28684
Serranos (MG),2021,38562,1093,37469,13493,724,9090,14161
Serro (MG),2021,292440,18486,273953,29268,15138,131472,98076
Sete Lagoas (MG),2021,12659740,2188640,10471100,36541,4826059,4366717,1241784
Silveirânia (MG),2021,35150,1107,34043,7447,1341,9264,15991
Silvianópolis (MG),2021,141556,8600,132956,46269,16498,38529,31660
Simão Pereira (MG),2021,104072,4946,99126,5116,57666,16939,19406
Simonésia (MG),2021,285287,12676,272610,89366,10451,82504,90288
Sobrália (MG),2021,67373,2342,65031,10686,2433,21559,30352
Soledade de Minas (MG),2021,81877,3219,78658,17220,4346,26138,30953
Tabuleiro (MG),2021,65731,5007,60724,8928,7442,23243,21111
Taiobeiras (MG),2021,557419,40156,517264,59332,42758,252046,163127
Taparuba (MG),2021,49070,1552,47518,13214,1818,11650,20836
Tapira (MG),2021,689238,60444,628794,123205,366261,99245,40083
Tapiraí (MG),2021,56041,1081,54960,31754,1587,8729,12891
Taquaraçu de Minas (MG),2021,65923,3699,62224,7555,7524,21952,25193
Tarumirim (MG),2021,188341,8916,179425,27694,7838,73013,70879
Teixeiras (MG),2021,191322,10086,181236,23939,27370,71442,58485
Teófilo Otoni (MG),2021,2951670,273231,2678439,90727,368541,1571981,647190
Timóteo (MG),2021,5611339,728712,4882627,1663,3162686,1275599,442678
Tiradentes (MG),2021,205707,15956,189751,7230,15311,123483,43727
Tiros (MG),2021,379859,32907,346952,169944,38281,100100,38627
Tocantins (MG),2021,349691,34271,315420,40131,57477,140202,77610
Tocos do Moji (MG),2021,70719,3030,67690,23532,2743,18263,23152
Toledo (MG),2021,107161,8049,99112,13214,14044,39227,32627
Tombos (MG),2021,130979,9046,121933,19242,5131,58383,39177
Três Corações (MG),2021,2959361,444806,2514555,338109,574598,1214528,387320
Três Marias (MG),2021,3151633,400975,2750658,88355,1955697,518723,187883
Três Pontas (MG),2021,1879264,247732,1631532,212415,341970,787997,289150
Tumiritinga (MG),2021,82915,2907,80009,15729,3596,24722,35962
Tupaciguara (MG),2021,946559,80267,866292,281661,114879,319118,150633
Turmalina (MG),2021,443706,29692,414014,148131,32017,134164,99703
Turvolândia (MG),2021,139820,6900,132920,63352,7274,34520,27774
Ubá (MG),2021,3573940,451171,3122768,32833,1162924,1455566,471445
Ubaí (MG),2021,117219,4200,113019,14434,4898,33271,60417
Ubaporanga (MG),2021,167991,9497,158494,36453,9775,52909,59358
Uberaba (MG),2021,20397519,3114714,17282805,1425496,6133709,8030613,1692988
Uberlândia (MG),2021,43129285,9201421,33927863,921227,10575603,19167843,3263190
Umburatiba (MG),2021,44172,1662,42510,12798,1666,10263,17783
Unaí (MG),2021,4319563,382411,3937152,1610992,323552,1534271,468336
União de Minas (MG),2021,130424,4588,125835,70426,5614,25430,24366
Uruana de Minas (MG),2021,97097,3572,93525,47065,2773,21741,21946
Urucânia (MG),2021,239997,24906,215091,29697,60163,72511,52720
Urucuia (MG),2021,193242,8736,184505,51770,6262,42568,83906
Vargem Alegre (MG),2021,77331,5456,71875,4868,3692,29898,33417
Vargem Bonita (MG),2021,87637,2910,84727,43269,3675,18987,18795
Vargem Grande do Rio Pardo (MG),2021,68130,2015,66115,18491,4548,14056,29019
Varginha (MG),2021,8093810,1842340,6251470,88572,1549576,3920910,692411
Varjão de Minas (MG),2021,316199,9806,306393,180398,24954,61026,40015
Várzea da Palma (MG),2021,1067613,165878,901735,101082,330955,275097,194601
Varzelândia (MG),2021,187206,10199,177007,8897,6777,66724,94609
Vazante (MG),2021,1168648,106851,1061797,294442,368094,289597,109664
Verdelândia (MG),2021,115451,4752,110699,37018,3991,22185,47505
Veredinha (MG),2021,133052,3673,129379,55822,20820,21480,31257
Veríssimo (MG),2021,170434,5051,165383,101522,6844,29158,27860
Vermelho Novo (MG),2021,64216,1800,62416,20750,1584,13934,26149
Vespasiano (MG),2021,3020537,537997,2482540,1174,779300,1058734,643332
Viçosa (MG),2021,1811859,168607,1643252,31310,187358,1038710,385873
Vieiras (MG),2021,53459,1606,51853,15002,1945,12083,22823
Mathias Lobato (MG),2021,43931,2422,41509,5450,1667,13784,20608
Virgem da Lapa (MG),2021,131604,6287,125316,9140,5395,45296,65484
Virgínia (MG),2021,180446,7767,172679,52052,5265,75260,40102
Virginópolis (MG),2021,183953,11956,171996,32383,6475,80303,52835
Virgolândia (MG),2021,62674,1949,60725,12538,1958,16516,29712
Visconde do Rio Branco (MG),2021,1351679,182175,1169503,16197,460552,492261,200494
Volta Grande (MG),2021,140361,22319,118042,12821,30882,43597,30742
Wenceslau Braz (MG),2021,33088,1784,31305,5988,2519,7553,15245
Afonso Cláudio (ES),2021,569771,38859,530913,128587,48979,196271,157075
Águia Branca (ES),2021,246004,21375,224630,69293,23925,75298,56114
Água Doce do Norte (ES),2021,184402,10194,174208,35850,26077,51040,61241
Alegre (ES),2021,575138,32142,542996,72353,133957,201931,134754
Alfredo Chaves (ES),2021,457719,42693,415026,100175,91659,140577,82616
Alto Rio Novo (ES),2021,113034,4945,108088,26348,5260,30859,45622
Anchieta (ES),2021,5764148,140190,5623958,40269,4238344,1094492,250853
Apiacá (ES),2021,118193,10892,107301,19531,5834,38436,43500
Aracruz (ES),2021,5313106,734808,4578298,79986,2627038,1304694,566580
Atílio Vivácqua (ES),2021,360866,65272,295594,21920,94298,105391,73985
Baixo Guandu (ES),2021,928265,68264,860001,52844,382635,258176,166347
Barra de São Francisco (ES),2021,1165006,126747,1038259,75624,341417,401373,219845
Boa Esperança (ES),2021,271044,18700,252345,65208,15183,93094,78860
Bom Jesus do Norte (ES),2021,186832,19783,167049,5936,22484,82836,55792
Brejetuba (ES),2021,294750,13045,281705,128969,19828,66141,66768
Cachoeiro de Itapemirim (ES),2021,6146964,806065,5340899,80565,1531965,2727955,1000414
Cariacica (ES),2021,13698973,4548585,9150388,20821,1673112,5874966,1581488
Castelo (ES),2021,1170595,159529,1011065,112137,279118,421767,198043
Colatina (ES),2021,4378306,497938,3880368,127943,1130284,1964309,657832
Conceição da Barra (ES),2021,607069,55467,551602,103951,91798,177044,178809
Conceição do Castelo (ES),2021,279078,22815,256264,59572,26594,101687,68410
Divino de São Lourenço (ES),2021,82578,3312,79266,27970,5005,18414,27877
Domingos Martins (ES),2021,957684,74985,882699,172884,149377,388158,172279
Dores do Rio Preto (ES),2021,159782,12748,147034,36571,17224,54084,39154
Ecoporanga (ES),2021,411089,19261,391828,99786,60073,115314,116655
Fundão (ES),2021,468479,47910,420569,37339,108013,159502,115714
Governador Lindenberg (ES),2021,334329,24477,309852,92538,45067,104218,68029
Guaçuí (ES),2021,612495,49393,563102,65180,71129,275426,151368
Guarapari (ES),2021,2537472,243974,2293498,69329,290340,1317709,616120
Ibatiba (ES),2021,450090,38079,412011,73202,24133,186588,128087
Ibiraçu (ES),2021,289514,29782,259732,23513,34932,133340,67947
Ibitirama (ES),2021,171983,12359,159624,48474,6687,54671,49792
Iconha (ES),2021,314849,49835,265014,37238,21509,125767,80500
Irupi (ES),2021,236224,19056,217168,46942,10060,88378,71788
Itaguaçu (ES),2021,325867,17985,307882,115469,18170,98508,75735
Itapemirim (ES),2021,5744186,107127,5637058,116500,4062152,1096322,362084
Itarana (ES),2021,266030,17908,248122,46592,60745,85192,55592
Iúna (ES),2021,538444,43234,495210,108435,22510,223173,141092
Jaguaré (ES),2021,963635,57876,905759,163642,295451,271764,174902
Jerônimo Monteiro (ES),2021,172125,10677,161448,28310,9901,59805,63432
João Neiva (ES),2021,646255,82903,563352,19125,276759,185712,81756
Laranja da Terra (ES),2021,187688,11558,176130,62445,9954,46527,57205
Linhares (ES),2021,8036008,1142398,6893610,393611,2824723,2710113,965162
Mantenópolis (ES),2021,203075,9121,193954,54083,9230,53821,76819
Marataízes (ES),2021,6659696,89711,6569985,114908,4862745,1268548,323783
Marechal Floriano (ES),2021,516906,64174,452733,83746,57054,213563,98370
Marilândia (ES),2021,312886,23767,289119,78311,26993,107967,75848
Mimoso do Sul (ES),2021,607415,53543,553872,113097,92518,222316,125940
Montanha (ES),2021,410506,36537,373970,90056,30799,148946,104168
Mucurici (ES),2021,96748,3272,93476,35329,3852,19685,34610
Muniz Freire (ES),2021,383338,24848,358490,124245,24598,113473,96173
Muqui (ES),2021,234321,13782,220538,45676,9768,84730,80365
Nova Venécia (ES),2021,1339644,147773,1191871,159006,167081,611890,253894
Pancas (ES),2021,358499,16755,341744,114609,17311,97358,112466
Pedro Canário (ES),2021,401437,22929,378509,64847,54675,126229,132758
Pinheiros (ES),2021,861702,115335,746367,155894,169644,271411,149418
Piúma (ES),2021,876050,36610,839440,19957,445226,249357,124901
Ponto Belo (ES),2021,107548,4867,102681,23055,5508,29475,44643
Presidente Kennedy (ES),2021,6811825,59765,6752060,79636,5314481,1210280,147663
Rio Bananal (ES),2021,525682,44069,481614,175743,41862,151294,112715
Rio Novo do Sul (ES),2021,229883,24757,205126,24300,49109,69444,62273
Santa Leopoldina (ES),2021,330158,9586,320572,117176,87154,56321,59920
Santa Maria de Jetibá (ES),2021,1631424,118583,1512841,763736,99790,416156,233159
Santa Teresa (ES),2021,577185,49369,527817,119839,38902,243479,125596
São Domingos do Norte (ES),2021,331339,39256,292083,55152,116234,69998,50699
São Gabriel da Palha (ES),2021,762065,66535,695530,90351,100421,323491,181266
São José do Calçado (ES),2021,203596,12458,191138,26777,42193,63287,58881
São Mateus (ES),2021,2947644,298200,2649444,365621,393964,1231889,657970
São Roque do Canaã (ES),2021,228984,20226,208757,46457,23934,77020,61346
Serra (ES),2021,37279406,8471037,28808369,34539,13151407,13219359,2403065
Sooretama (ES),2021,667529,71260,596269,108934,147047,173118,167170
Vargem Alta (ES),2021,430100,48185,381915,47530,99401,130337,104648
Venda Nova do Imigrante (ES),2021,702153,83342,618811,77227,78060,332828,130697
Viana (ES),2021,4227568,1183023,3044545,23017,586594,2058105,376829
Vila Pavão (ES),2021,180643,10257,170386,48464,24917,43545,53459
Vila Valério (ES),2021,434064,29226,404837,168988,24505,129708,81636
Vila Velha (ES),2021,16305842,3602230,12703612,25395,2493628,8047840,2136750
Vitória (ES),2021,31423573,6232814,25190759,26154,9518389,13650873,1995344
Angra dos Reis (RJ),2021,11194244,1084315,10109929,60857,3331325,4796244,1921503
Aperibé (RJ),2021,249125,19482,229643,9387,13599,85162,121496
Araruama (RJ),2021,4234265,362327,3871938,59721,1071338,1557788,1183091
Areal (RJ),2021,427444,74944,352500,4394,89808,123298,135000
Armação dos Búzios (RJ),2021,2970333,132245,2838088,12586,1181357,1165239,478906
Arraial do Cabo (RJ),2021,2705477,71347,2634130,22382,1510708,714001,387039
Barra do Piraí (RJ),2021,2713911,301915,2411997,47238,540721,1047626,776412
Barra Mansa (RJ),2021,6449309,692595,5756714,70860,1292424,2974224,1419206
Belford Roxo (RJ),2021,8839808,1038410,7801398,3708,1047940,3073720,3676029
Bom Jardim (RJ),2021,887304,112636,774668,105464,184755,252075,232374
Bom Jesus do Itabapoana (RJ),2021,908167,93151,815016,55743,98643,356690,303940
Cabo Frio (RJ),2021,12359627,531924,11827703,58007,5375425,4224096,2170174
Cachoeiras de Macacu (RJ),2021,1305514,123233,1182281,65696,255651,381965,478969
Cambuci (RJ),2021,400563,59051,341512,73845,37304,87090,143273
Carapebus (RJ),2021,726769,22065,704705,13339,339637,152594,199135
Comendador Levy Gasparian (RJ),2021,603975,57802,546173,6122,320229,126737,93085
Campos dos Goytacazes (RJ),2021,37179860,1429953,35749907,368935,20380244,10854552,4146176
Cantagalo (RJ),2021,841421,72343,769078,40422,345749,199717,183189
Cardoso Moreira (RJ),2021,395482,43500,351983,28953,88349,107691,126989
Carmo (RJ),2021,561153,68300,492853,24934,139475,160720,167723
Casimiro de Abreu (RJ),2021,2352168,82278,2269890,13479,1173402,633043,449966
Conceição de Macabu (RJ),2021,434144,37243,396901,21308,15761,151147,208684
Cordeiro (RJ),2021,456176,29684,426492,7438,49845,174132,195076
Duas Barras (RJ),2021,249220,29258,219962,30631,18051,57928,113352
Duque de Caxias (RJ),2021,53136666,8803152,44333515,18006,14779164,22667528,6868815
Engenheiro Paulo de Frontin (RJ),2021,406744,48804,357940,10993,88646,100098,158203
Guapimirim (RJ),2021,1364014,120839,1243175,29283,223702,444461,545730
Iguaba Grande (RJ),2021,631409,37733,593676,2798,44763,243321,302795
Itaboraí (RJ),2021,5640738,580794,5059944,17169,649532,2458243,1935000
Itaguaí (RJ),2021,10502749,1287471,9215278,18783,769963,7105419,1321113
Italva (RJ),2021,418766,34694,384073,26677,89144,119034,149217
Itaocara (RJ),2021,635896,74561,561335,68679,48108,242849,201698
Itaperuna (RJ),2021,3394972,322566,3072406,79778,485133,1639590,867905
Itatiaia (RJ),2021,6893431,2437034,4456398,6492,2061683,2020753,367470
Japeri (RJ),2021,1530205,124967,1405237,7290,206300,385266,806381
Laje do Muriaé (RJ),2021,184165,18202,165963,14213,28743,40639,82369
Macaé (RJ),2021,17747016,2760752,14986264,75525,5538025,6094437,3278277
Macuco (RJ),2021,214875,26012,188862,5305,47805,67231,68521
Magé (RJ),2021,4765844,332822,4433022,65818,536856,1854252,1976097
Mangaratiba (RJ),2021,3211900,200473,3011427,20401,126012,2297233,567781
Maricá (RJ),2021,85814296,757901,85056395,16520,65616073,17609607,1814194
Mendes (RJ),2021,357694,29096,328598,940,26114,146103,155441
Mesquita (RJ),2021,2619229,163246,2455983,3243,155039,1087348,1210353
Miguel Pereira (RJ),2021,632510,49213,583297,7242,43357,285306,247393
Miracema (RJ),2021,662192,60137,602055,22295,88400,236861,254499
Natividade (RJ),2021,324266,32021,292245,24160,16293,116999,134792
Nilópolis (RJ),2021,3059486,232531,2826955,0,164559,1464892,1197505
Niterói (RJ),2021,66345730,2962539,63383192,26399,37156054,21273256,4927483
Nova Friburgo (RJ),2021,6324935,662874,5662061,130267,768817,3169034,1593943
Nova Iguaçu (RJ),2021,17794593,1722143,16072450,8261,1523123,8460495,6080572
Paracambi (RJ),2021,1162885,96901,1065984,3200,271413,390396,400975
Paraíba do Sul (RJ),2021,1253032,161467,1091565,63636,214271,431404,382254
Paraty (RJ),2021,1955303,122942,1832361,39520,590951,768108,433782
Paty do Alferes (RJ),2021,684863,86492,598370,61124,58524,222055,256667
Petrópolis (RJ),2021,15665448,1875030,13790418,70958,4742118,6528010,2449332
Pinheiral (RJ),2021,1452647,105273,1347374,5734,854984,264409,222247
Piraí (RJ),2021,2449990,287265,2162725,21163,1361264,473856,306442
Porciúncula (RJ),2021,415950,42920,373030,35016,44363,125929,167721
Porto Real (RJ),2021,4245742,1359733,2886009,4902,1749295,885169,246644
Quatis (RJ),2021,305015,35064,269951,23189,14590,105544,126628
Queimados (RJ),2021,4361718,569788,3791931,3473,865869,1737459,1185130
Quissamã (RJ),2021,5996913,73345,5923568,33197,4343048,1194820,352504
Resende (RJ),2021,10754410,2652300,8102110,60059,3265318,3575581,1201152
Rio Bonito (RJ),2021,1831415,236668,1594747,30006,119709,898755,546277
Rio Claro (RJ),2021,435971,53910,382061,56893,18294,106631,200243
Rio das Flores (RJ),2021,294391,24310,270080,18060,81192,61799,109029
Rio das Ostras (RJ),2021,8949070,550596,8398474,14234,4259841,2610566,1513834
Rio de Janeiro (RJ),2021,359634753,79324423,280310329,111267,45685982,177541096,56971984
Santa Maria Madalena (RJ),2021,234582,24119,210464,25373,7960,61967,115164
Santo Antônio de Pádua (RJ),2021,1284644,140638,1144006,56173,259723,483617,344493
São Francisco de Itabapoana (RJ),2021,1184531,196528,988003,283619,47881,269090,387413
São Fidélis (RJ),2021,845192,82700,762492,63650,68309,296015,334518
São Gonçalo (RJ),2021,20324883,1843431,18481452,81571,2003957,8725199,7670724
São João da Barra (RJ),2021,9886875,713990,9172885,59304,4636445,4061572,415564
São João de Meriti (RJ),2021,8963782,834523,8129258,1480,445899,4304919,3376960
São José de Ubá (RJ),2021,196862,29947,166914,40933,8751,41904,75326
São José do Vale do Rio Preto (RJ),2021,738568,142099,596469,190494,52310,150892,202774
São Pedro da Aldeia (RJ),2021,2743661,335294,2408367,41301,305669,1231138,830259
São Sebastião do Alto (RJ),2021,241289,31389,209900,42038,7674,45946,114242
Sapucaia (RJ),2021,1000575,199298,801277,43378,197879,395231,164789
Saquarema (RJ),2021,42178208,419311,41758898,22407,31852885,8961985,921622
Seropédica (RJ),2021,4777037,855813,3921224,18303,666095,2493586,743241
Silva Jardim (RJ),2021,602644,58486,544158,48909,91999,147444,255805
Sumidouro (RJ),2021,600127,134499,465628,197887,28703,91156,147882
Tanguá (RJ),2021,694549,56443,638106,17472,46116,250449,324069
Teresópolis (RJ),2021,5923947,641088,5282859,360917,540711,2896463,1484768
Trajano de Moraes (RJ),2021,242020,26934,215087,33405,7802,57837,116042
Três Rios (RJ),2021,6348173,848088,5500085,17386,2831278,1907634,743787
Valença (RJ),2021,3122612,289458,2833154,71900,1166621,980439,614194
Varre-Sai (RJ),2021,264154,39152,225002,45669,14617,56644,108071
Vassouras (RJ),2021,1321272,130215,1191057,36233,222719,578653,353453
Volta Redonda (RJ),2021,19671281,3270214,16401067,8048,8507261,5640223,2245535
Adamantina (SP),2021,1370866,124519,1246347,54224,178323,785582,228217
Adolfo (SP),2021,115490,5118,110372,22826,17783,42622,27140
Aguaí (SP),2021,1314737,244377,1070361,121796,358841,437985,151740
Águas da Prata (SP),2021,209004,15155,193849,25096,25551,106279,36923
Águas de Lindóia (SP),2021,585604,46386,539218,10299,41439,372530,114951
Águas de Santa Bárbara (SP),2021,217296,12993,204302,70379,9944,82958,41021
Águas de São Pedro (SP),2021,147855,9287,138568,0,8859,98195,31515
Agudos (SP),2021,2638623,444333,2194290,85373,1120495,780808,207613
Alambari (SP),2021,129390,7428,121962,35450,11403,42753,32355
Alfredo Marcondes (SP),2021,120355,29853,90502,9081,21155,35648,24617
Altair (SP),2021,112274,5786,106488,48059,5049,24150,29230
Altinópolis (SP),2021,833396,40032,793364,386045,28794,296402,82123
Alto Alegre (SP),2021,113585,5622,107963,38450,7852,34981,26680
Alumínio (SP),2021,3982313,833685,3148628,1155,2236918,793351,117203
Álvares Florence (SP),2021,124351,3824,120527,60047,4640,30253,25587
Álvares Machado (SP),2021,709876,98091,611785,43126,121126,335572,111961
Álvaro de Carvalho (SP),2021,58586,2162,56425,11041,2988,19064,23332
Alvinlândia (SP),2021,58405,2114,56291,14786,3008,17208,21289
Americana (SP),2021,15217280,2388914,12828366,14188,4499622,7144793,1169763
Américo Brasiliense (SP),2021,1230444,132331,1098113,21525,363182,506588,206818
Américo de Campos (SP),2021,126802,4632,122171,38291,3852,46795,33233
Amparo (SP),2021,5152156,722355,4429800,120904,2105977,1830744,372175
Analândia (SP),2021,208314,9487,198827,46531,55495,61450,35352
Andradina (SP),2021,2845285,273080,2572205,170531,808160,1295768,297746
Angatuba (SP),2021,1474152,141432,1332720,198301,508781,497926,127712
Anhembi (SP),2021,169558,10879,158679,56226,19234,44276,38944
Anhumas (SP),2021,105621,3485,102136,42784,7638,26549,25165
Aparecida (SP),2021,1041067,52340,988727,3003,39568,762869,183287
Aparecida d'Oeste (SP),2021,151540,10944,140595,27847,38504,49291,24954
Apiaí (SP),2021,897713,73100,824613,259421,190903,257956,116332
Araçariguama (SP),2021,4814504,1060038,3754466,1761,1504367,2112508,135830
Araçatuba (SP),2021,9017958,942575,8075382,136998,1312464,5822670,803250
Araçoiaba da Serra (SP),2021,1205884,127586,1078297,29828,358401,522978,167091
Aramina (SP),2021,150277,12393,137884,27475,3774,76857,29778
Arandu (SP),2021,194818,6547,188271,92862,9502,50612,35295
Arapeí (SP),2021,45568,2377,43191,2769,1888,17210,21325
Araraquara (SP),2021,11953237,1452391,10500847,124543,2194730,6924501,1257073
Araras (SP),2021,6942567,913886,6028681,174529,1569122,3673554,611476
Arco-Íris (SP),2021,62096,2095,60001,28248,3646,13120,14987
Arealva (SP),2021,227083,12898,214184,66918,18061,87294,41911
Areias (SP),2021,58113,2398,55716,8334,1480,19688,26213
Areiópolis (SP),2021,163060,8776,154284,22630,12987,65258,53409
Ariranha (SP),2021,1136911,187586,949326,22473,198112,676702,52039
Artur Nogueira (SP),2021,1721737,257998,1463739,207404,318941,689122,248271
Arujá (SP),2021,8293370,1611799,6681571,44134,1393205,4787584,456648
Aspásia (SP),2021,39546,1486,38060,10329,2056,11473,14202
Assis (SP),2021,4082516,476753,3605763,56957,675200,2381901,491705
Atibaia (SP),2021,8361032,1442073,6918960,305860,1833696,4034661,744743
